path,source_status,subsystem,include_or_exclude,reason,target_commit,validation
dropin-earth/.github/workflows/deploy-canopyproof.yml,untracked,X deployment-or-legacy-workflow,exclude,nested deployment and production workflows are outside Phase R0,EXCLUDED,path_and_boundary_reviewed
dropin-earth/.github/workflows/production-e2e.yml,untracked,X deployment-or-legacy-workflow,exclude,nested deployment and production workflows are outside Phase R0,EXCLUDED,path_and_boundary_reviewed
dropin-earth/.github/workflows/randomness-sybil-monitor.yml,untracked,X deployment-or-legacy-workflow,exclude,nested deployment and production workflows are outside Phase R0,EXCLUDED,path_and_boundary_reviewed
dropin-earth/.gitignore,tracked_modified,R0 recovery-evidence,include,proven generated-output ignore boundary,PENDING_R0_RECOVERY_EVIDENCE,pending_clean_replay
dropin-earth/apps/admin/src/app/risk/page.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/admin/src/app/status/page.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/next-env.d.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/package.json,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/app/api/local-e2e/route.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/app/globals.css,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/app/layout.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/app/page.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/components/GlobalMapHeatmap.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/components/InteractiveGlobalMap.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/components/LaneStatusCard.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/components/LeafPointsChart.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/components/MilestoneCertificate.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/components/Phase16LocalDashboard.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/components/PoCCEventStream.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/components/RegionDetailPanel.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/components/RwaTokenChart.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/hooks/useLocalE2E.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/src/types/local-e2e.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-dashboard/tsconfig.json,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-desktop/package.json,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-desktop/src/main.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-desktop/src/repository.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-desktop/src/shell.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/dropin-desktop/tsconfig.json,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/app.json,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/App.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/package.json,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Dashboard/Dashboard.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Dashboard/DashboardReportPanel.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Dashboard/DashboardTopNav.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Dashboard/HITLPanel.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Dashboard/index.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Dashboard/LeafPointsDashboard.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Dashboard/MapHeatmap.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Dashboard/NodeInfoPanel.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Dashboard/PoCCEventList.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Dashboard/types.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/Earth3DScene.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/HeatmapLayer.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/components/OverlayPanels.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/hooks/seed.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/hooks/useHITL.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/hooks/useLeafPoints.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/hooks/usePoCCEvent.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/screens/CampaignScreen.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/screens/DashboardScreen.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/src/screens/RoundScreen.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton-expo/tsconfig.json,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/api/miniappApi.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/App.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/components/Dashboard.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/components/MiniDashboard.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/components/MiniHITLPanel.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/components/MiniLeafPointsPanel.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/components/MiniMilestonePanel.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/components/MiniNodeInfoPanel.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/components/MiniPoCCEventList.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/components/NodeInfoPanel.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/hooks/usePoCCAHIN.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/expo/screens/DashboardScreen.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/next.config.mjs,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/api/miniappApi.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/app/campaign/[campaignId]/page.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/app/dashboard/page.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/app/demo/page.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/app/global-e2e/page.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/app/globals.css,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/app/layout.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/app/me/forest/page.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/app/page.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/app/round/[roundId]/page.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/app/share/[ticketId]/share-card-client.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/Dashboard.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/NodeInfoPanel.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/index.ts,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniCTAButton.module.css,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniCTAButton.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniGlobalMap.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniHeroEarthOrb.module.css,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniHeroEarthOrb.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniLeaderboard.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniLeafPointsDashboard.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniMetricsCard.module.css,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniMetricsCard.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniRoundEconomicsCard.tsx,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/components/ui/MiniUxInteractionCollector.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/hooks/useMiniLeafPoints.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/hooks/useMiniPaymentIntent.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/hooks/useMiniPoCC.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/hooks/useMiniProofTimeline.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/hooks/useMiniTicketSeed.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/hooks/usePoCCAHIN.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/lib/api.ts,tracked_modified,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/lib/ux-experiments.ts,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/miniapp-ton/src/screens/DashboardScreen.tsx,untracked,X non-R0-product-surface,exclude,separate product surface is not part of industrial recovery slices,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/.wrangler/state/v3/cache/miniflare-CacheObject/metadata.sqlite,untracked,X generated-artifact,exclude,"generated build, runtime, test, or cache output",EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/.wrangler/state/v3/cache/miniflare-CacheObject/metadata.sqlite-shm,untracked,X generated-artifact,exclude,"generated build, runtime, test, or cache output",EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/.wrangler/state/v3/cache/miniflare-CacheObject/metadata.sqlite-wal,untracked,X generated-artifact,exclude,"generated build, runtime, test, or cache output",EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/next.config.mjs,tracked_modified,I validation-coverage,include,OpenNext and web build integration,PENDING_I_VALIDATION_COVERAGE,pending_clean_replay
dropin-earth/apps/web/open-next.config.ts,tracked_modified,I validation-coverage,include,OpenNext and web build integration,PENDING_I_VALIDATION_COVERAGE,pending_clean_replay
dropin-earth/apps/web/package.json,tracked_modified,S shared-build-plumbing,include,shared manifest must evolve minimally with each independently validated authority slice,PENDING_S_SHARED_BUILD_PLUMBING,pending_clean_replay
dropin-earth/apps/web/postcss.config.mjs,tracked_modified,I validation-coverage,include,OpenNext and web build integration,PENDING_I_VALIDATION_COVERAGE,pending_clean_replay
dropin-earth/apps/web/scripts/clean-opennext-build.mjs,untracked,I validation-coverage,include,OpenNext and web build integration,PENDING_I_VALIDATION_COVERAGE,pending_clean_replay
dropin-earth/apps/web/src/app/about/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/admin/green-draw/page.tsx,untracked,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/campaigns/[campaignId]/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/campaigns/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/challenges/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/dashboard/global/page.tsx,untracked,C global-command-center,include,privacy-minimized global command center authority,PENDING_C_GLOBAL_COMMAND_CENTER,pending_clean_replay
dropin-earth/apps/web/src/app/dashboard/page.tsx,untracked,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/demo/page.tsx,untracked,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/draw/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/explorer/page.tsx,untracked,C global-command-center,include,privacy-minimized global command center authority,PENDING_C_GLOBAL_COMMAND_CENTER,pending_clean_replay
dropin-earth/apps/web/src/app/explorer/project/[publicProjectId]/page.tsx,untracked,C global-command-center,include,privacy-minimized global command center authority,PENDING_C_GLOBAL_COMMAND_CENTER,pending_clean_replay
dropin-earth/apps/web/src/app/faq/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/fund/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/funding/page.tsx,untracked,I validation-coverage,include,"cross-authority institutional UI composes trust, evidence, and mobile slices and belongs in final integration",PENDING_I_VALIDATION_COVERAGE,pending_clean_replay
dropin-earth/apps/web/src/app/global-e2e/page.tsx,untracked,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/globals.css,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/governance/page.tsx,untracked,I validation-coverage,include,"cross-authority institutional UI composes trust, evidence, and mobile slices and belongs in final integration",PENDING_I_VALIDATION_COVERAGE,pending_clean_replay
dropin-earth/apps/web/src/app/green-draw/[drawId]/page.tsx,untracked,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/green-draw/[drawId]/purchase/page.tsx,untracked,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/green-draw/[drawId]/result/page.tsx,untracked,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/green-draw/page.tsx,untracked,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/lottery/[roundId]/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/mobile/report/page.tsx,untracked,I validation-coverage,include,"cross-authority institutional UI composes trust, evidence, and mobile slices and belongs in final integration",PENDING_I_VALIDATION_COVERAGE,pending_clean_replay
dropin-earth/apps/web/src/app/my-tickets/page.tsx,untracked,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/partners/page.tsx,untracked,I validation-coverage,include,"cross-authority institutional UI composes trust, evidence, and mobile slices and belongs in final integration",PENDING_I_VALIDATION_COVERAGE,pending_clean_replay
dropin-earth/apps/web/src/app/payments/[paymentIntentId]/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/planting-funds/page.tsx,untracked,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/projects/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/red-team/page.tsx,tracked_modified,X non-R0-product-surface,exclude,web path is not one of the approved institutional surfaces,EXCLUDED,path_and_boundary_reviewed
dropin-earth/apps/web/src/app/risk/page.tsx,untracked,I validation-coverage,include,"cross-authority institutional UI composes trust, evidence, and mobile slices and belongs in final integration",PENDING_I_VALIDATION_COVERAGE,pending_clean_replay
